@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time  Magnitude   Efield_X   Efield_Y   Efield_Z
@type xy
100       5.964823048312e+01            5.312247262206e+01            -5.747891601671e+00           -2.651180952749e+01           
200       5.325455689386e+01            4.399986780609e+01            1.268894643591e+01            -2.718547592658e+01           
300       5.105375911810e+01            4.400425457854e+01            9.387592851861e+00            -2.412436526675e+01           
400       5.271172541747e+01            4.817409987556e+01            5.040364477074e+00            -2.079367268196e+01           
500       4.976432022816e+01            4.377140688942e+01            -1.410315045341e+01           -1.901716734900e+01           
600       3.224175418844e+01            2.775979288998e+01            2.324481146071e+00            -1.623334220838e+01           
700       5.389036533973e+01            4.329183178481e+01            3.423476226081e+00            -3.191032102149e+01           
800       4.377265217137e+01            3.302706240962e+01            -1.048582954054e+01           -2.674519780360e+01           
900       4.924101481241e+01            4.188162357327e+01            1.364905135992e+01            -2.200705667729e+01           
1000      5.037995949575e+01            4.439230635978e+01            1.257098382670e+00            -2.378829877289e+01           
1100      4.714722805685e+01            4.389453660975e+01            -1.714664800133e+01           1.457131283766e+00            
1200      4.665901423626e+01            4.562186349867e+01            -9.782678527208e+00           -9.154912566402e-02           
1300      6.069693904046e+01            6.069690671930e+01            6.256523851683e-02            -3.029851387723e-03           
1400      3.797618430871e+01            3.612221857913e+01            -1.005148541411e+01           -6.028560403659e+00           
1500      3.040385301427e+01            2.985037492748e+01            1.219013931434e+00            -5.644767474127e+00           
1600      3.640793782697e+01            3.278207096495e+01            1.418510411765e+01            -7.046742597282e+00           
1700      4.594920569509e+01            4.566671024644e+01            -4.914110982767e-02           -5.087107668309e+00           
1800      3.862162190374e+01            3.366034916405e+01            1.047808611097e+01            -1.577403829337e+01           
1900      5.645677827833e+01            4.825520158581e+01            1.169966015310e+01            -2.686859292526e+01           
2000      6.026749269843e+01            5.696285919705e+01            8.286439804413e+00            -1.785324238394e+01           
2100      6.409416339321e+01            6.087779086660e+01            1.663598260090e+01            -1.118930038835e+01           
2200      5.225293915229e+01            5.020595629428e+01            9.099927272732e+00            -1.126600755640e+01           
2300      7.144588868164e+01            6.783866278572e+01            1.474588013542e+01            -1.688164269218e+01           
2400      6.727786435725e+01            5.665773526177e+01            3.418257041014e+01            -1.215581949664e+01           
2500      5.823909776126e+01            4.900411684617e+01            2.385434306768e+01            -2.052703965462e+01           
2600      4.887210038016e+01            4.525689837729e+01            1.078141744907e+01            -1.496851303989e+01           
2700      6.979946970619e+01            6.209402269271e+01            2.810174681400e+01            -1.505291144945e+01           
2800      5.047988907541e+01            4.448553019818e+01            1.240558591688e+01            -2.038033959754e+01           
2900      4.570252019800e+01            3.742016132716e+01            6.074336105399e+00            -2.552556208150e+01           
3000      6.562127109557e+01            5.692385552852e+01            2.631834565696e+01            -1.931762340058e+01           
3100      6.174565128145e+01            4.966795581992e+01            2.136255075791e+01            -2.982048024357e+01           
3200      6.377344402556e+01            5.753845185534e+01            2.201363681915e+01            -1.648570638361e+01           
3300      5.730263249893e+01            4.873297519591e+01            2.774305779450e+01            -1.179031653828e+01           
3400      6.205866484897e+01            5.544358602565e+01            2.310870897832e+01            -1.559725042460e+01           
3500      5.332017177633e+01            4.617693183292e+01            6.582071763267e+00            -2.583424115508e+01           
3600      5.290571810667e+01            4.735170825256e+01            5.845455113579e+00            -2.286178882901e+01           
3700      6.293820464607e+01            6.079337145340e+01            1.349461793038e+01            -9.125726180026e+00           
3800      4.750127490191e+01            4.142653123291e+01            8.936759306083e+00            -2.145572092521e+01           
3900      3.142909221272e+01            2.926868286185e+01            -3.984653835961e+00           -1.073566833763e+01           
4000      5.625521059164e+01            4.849238371875e+01            1.751949103722e+01            -2.249899717278e+01           
4100      5.226733562435e+01            4.539420048055e+01            3.294177994411e+00            -2.569804131332e+01           
4200      4.705712283954e+01            3.772286902005e+01            1.626924267953e+00            -2.808400043188e+01           
4300      5.218467259922e+01            4.969040268065e+01            6.109648938801e+00            -1.472331910838e+01           
4400      5.759310434450e+01            5.197979422652e+01            2.363345846770e+00            -2.468767418396e+01           
4500      5.050673595656e+01            4.392473879168e+01            1.208261462371e+01            -2.180729517670e+01           
4600      5.392431234263e+01            4.614525869801e+01            1.291998162179e+01            -2.472894328944e+01           
4700      3.608649986694e+01            3.099722019456e+01            1.420103471211e+01            -1.182110087777e+01           
4800      4.627413701063e+01            4.276772901081e+01            1.637252038832e+01            -6.645125090657e+00           
4900      6.381696048250e+01            5.828284528798e+01            1.644186036903e+01            -2.013404127261e+01           
5000      4.397165519599e+01            3.621052518133e+01            2.384838422869e+01            -7.318394390080e+00           
5100      5.940104486063e+01            5.710253895072e+01            -2.227208229504e+00           -1.621183886604e+01           
5200      5.507701785674e+01            4.618250028941e+01            1.652856212946e+01            -2.504917557411e+01           
5300      6.646167777184e+01            5.986983465627e+01            1.273520754706e+01            -2.589540498258e+01           
5400      5.395234117222e+01            4.753023434652e+01            1.817243884005e+00            -2.546428019000e+01           
5500      5.534846711175e+01            5.078987558691e+01            8.907650028144e+00            -2.011206405276e+01           
5600      6.723078987334e+01            6.058304430650e+01            6.173528387613e+00            -2.848791668053e+01           
5700      6.077717092010e+01            4.500140117762e+01            2.392619743846e+01            -3.311005093982e+01           
5800      3.833518073675e+01            2.840512629587e+01            1.384732536219e+01            -2.170222252555e+01           
5900      6.171631253924e+01            5.384204185349e+01            1.478867425089e+01            -2.629130800072e+01           
6000      6.260827015722e+01            5.160743495905e+01            1.952747657937e+01            -2.958286340888e+01           
6100      6.698218496380e+01            5.951738871424e+01            1.135988277913e+01            -2.855252364342e+01           
6200      4.881427282911e+01            4.008349431490e+01            1.333130122913e+01            -2.446268838211e+01           
6300      5.270557481699e+01            4.154976614406e+01            9.298216085215e+00            -3.106505637845e+01           
6400      5.631256778724e+01            4.300626549572e+01            1.896764361143e+01            -3.101281855514e+01           
6500      5.040563949967e+01            4.354212005857e+01            1.490191527650e+01            -2.056076835305e+01           
6600      5.946038260762e+01            5.317957904039e+01            8.325878641661e+00            -2.526161550210e+01           
6700      5.200794944889e+01            4.917829557471e+01            1.543999236274e+01            -6.923054678579e+00           
6800      3.583034879447e+01            3.278806556169e+01            1.682266641465e+00            -1.435014391575e+01           
6900      5.231354982582e+01            4.578635502562e+01            -3.177130741601e+00           -2.510424324883e+01           
7000      5.441621509701e+01            4.453038166610e+01            1.070105726940e+01            -2.938804089204e+01           
7100      5.470440704517e+01            3.869541294635e+01            1.658420668561e+01            -3.493137924109e+01           
7200      4.866025689641e+01            4.378090812407e+01            6.943668137110e-01            -2.122664692749e+01           
7300      5.268537768673e+01            5.176476359157e+01            -5.843998438004e+00           -7.874385979836e+00           
7400      6.062778675242e+01            5.827480210700e+01            4.023875839258e+00            -1.623528223090e+01           
7500      5.033755320109e+01            4.025651233690e+01            1.694356076671e+01            -2.502395303077e+01           
7600      6.621319866404e+01            5.942702065660e+01            1.844432438760e+01            -2.263677960948e+01           
7700      6.003073429093e+01            5.099089199443e+01            1.182950016299e+01            -2.938844873440e+01           
7800      5.635760835108e+01            4.981932544631e+01            8.885133048576e+00            -2.480462138065e+01           
7900      4.865854062109e+01            4.348626820227e+01            1.414156774542e+01            -1.663172014301e+01           
8000      3.003061266866e+01            2.769293112632e+01            8.887442091480e+00            -7.480149460992e+00           
8100      4.250229100032e+01            3.996658184016e+01            2.082758414483e+00            -1.431010809451e+01           
8200      6.017568436178e+01            5.085254170555e+01            2.765890321778e+00            -3.205435760114e+01           
8300      4.033936507169e+01            3.855538778100e+01            5.641380327179e+00            -1.043653560565e+01           
8400      4.833485438215e+01            4.318055774582e+01            1.561298177819e+01            -1.509742961226e+01           
8500      4.762238526300e+01            4.536926121049e+01            8.399087939560e+00            -1.178885223998e+01           
8600      6.232702761753e+01            5.657599554656e+01            2.339751243369e+00            -2.604497386581e+01           
8700      4.108321877064e+01            3.969630133961e+01            -2.886589102491e+00           -1.018342417186e+01           
8800      5.198998607134e+01            4.746569271992e+01            6.372624541166e+00            -2.023255601186e+01           
8900      5.249546888929e+01            4.863238056367e+01            -1.936540613486e+00           -1.967017094660e+01           
9000      5.596615259866e+01            5.409654598581e+01            6.040559132556e+00            -1.301097976586e+01           
9100      5.787661735431e+01            5.047203604272e+01            1.997709846996e+01            -2.007964020597e+01           
9200      5.770270076947e+01            5.561316149127e+01            -1.288166986316e+01           8.416681446588e+00            
9300      6.123870431718e+01            5.733773426325e+01            4.552854940827e+00            -2.101986317491e+01           
9400      6.562254202656e+01            6.330613327644e+01            6.750351300650e+00            -1.590862247121e+01           
9500      4.462767968206e+01            4.438405369114e+01            9.559598434730e-01            -4.557599425517e+00           
9600      5.338678527667e+01            5.204449422726e+01            -1.207850235454e+00           -1.183471844260e+01           
9700      5.725153654718e+01            5.239962968927e+01            -1.199099964128e+01           -1.970363349851e+01           
9800      5.780014860530e+01            5.316468689706e+01            -7.201716157706e+00           -2.150601149252e+01           
9900      4.591186876697e+01            4.180515544427e+01            -1.588721984457e+01           -1.038387777116e+01           
10000     5.051404884581e+01            5.051143243135e+01            -2.592511750637e-02           -5.134709511331e-01           
10100     5.114325925718e+01            4.494363862220e+01            1.063575600438e+00            -2.438382910429e+01           
10200     5.871331801894e+01            5.653646991668e+01            1.617580956043e+00            -1.575641818448e+01           
10300     5.669790009296e+01            5.494245974975e+01            5.800501075597e+00            -1.274096459733e+01           
10400     5.040603102951e+01            4.865509951951e+01            3.554384921238e+00            -1.268130918818e+01           
10500     6.037283392365e+01            5.724268646563e+01            2.550436367470e+00            -1.901707644478e+01           
10600     5.458786355775e+01            5.364510009683e+01            7.570508641023e+00            -6.687711291386e+00           
10700     4.456656178112e+01            3.910047254126e+01            8.911951673218e+00            -1.943987122937e+01           
10800     5.300411650758e+01            4.966336435888e+01            9.017623887272e+00            -1.617618826341e+01           
10900     4.267226861676e+01            3.223999947412e+01            1.870239530148e+01            -2.077800165551e+01           
11000     5.057350739625e+01            4.908821242913e+01            1.065811231555e+01            -5.867852481142e+00           
11100     4.898632991673e+01            4.895534273619e+01            1.246310054324e+00            1.217229453265e+00            
11200     6.012305631420e+01            5.199716935414e+01            8.763457243544e+00            -2.888387260839e+01           
