@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time      Magnitude                     Efield_X                      Efield_Y                     Efield_Z
@type xy
10        4.354520262551e+01            2.449604181940e-01            -3.544054712073e+01           2.530004517533e+01            
20        2.702215117426e+01            1.484501058057e+01            1.814355979979e+01            -1.343999824176e+01           
30        6.696407903675e+01            6.033771151290e+01            -2.904385956817e+01           5.169149452412e-02            
40        4.229548659023e+01            8.792766220247e+00            -9.098179965186e+00           -4.035862447386e+01           
50        6.525239870511e+01            2.941890507995e+01            -1.032521510246e+01           5.732184133256e+01            
60        5.835765205984e+01            3.458087505216e+01            -4.512070437126e+01           1.318714038773e+01            
70        3.085680586625e+01            7.593827380897e+00            -1.976230125329e+01           -2.244833408408e+01           
80        3.455259142140e+01            1.837957411884e+01            -2.631824919385e+01           -1.278368446554e+01           
90        8.217773243199e+01            5.579847772112e+01            -6.027593125451e+01           2.553762532449e+00            
100       5.681806173794e+01            4.625754937721e+01            -2.587879758125e+01           2.046507026668e+01            
110       4.443995508599e+01            8.286726258935e+00            -4.365819628771e+01           4.490800137863e-01            
120       4.247065614663e+01            1.795473561759e+01            2.911963642520e+01            -2.516805270361e+01           
130       2.365111644898e+01            -1.021774512986e+01           -2.129875491838e+01           1.155868794961e+00            
140       5.389824841013e+01            3.987996127265e+01            -3.600899635205e+01           -4.238166147053e+00           
150       5.731273164938e+01            5.240628565645e+01            -2.320171553545e+01           1.040625791847e-01            
160       3.164406286484e+01            1.714765765344e+01            -1.946432377605e+01           -1.812304200557e+01           
170       5.320267320793e+01            3.822630764320e+01            1.759678473610e+01            -3.255191249970e+01           
180       3.222946630296e+01            1.286569053586e+01            -2.574768396347e+01           1.450066466499e+01            
190       1.680149450315e+01            5.976102529454e+00            -3.122706463090e+00           1.538912344619e+01            
200       3.201062600298e+01            2.955797490518e+01            3.255284970064e+00            -1.184944793528e+01           
210       3.808406983297e+01            3.298153222552e+01            7.721051173181e+00            1.740690311001e+01            
220       3.495588428862e+01            3.413481495531e+01            -7.439738146533e+00           1.174116977715e+00            
230       6.819086206364e+01            1.567643472999e+01            -6.412299956482e+01           -1.710216331194e+01           
240       3.720823794092e+01            2.419520962443e+01            -2.538502984085e+01           1.243563677009e+01            
250       5.653898231067e+01            -7.530680708438e-02           -5.047447405696e+01           2.547505286129e+01            
260       2.990031533631e+01            3.689030367512e+00            -2.534505771403e+01           -1.542880298762e+01           
270       3.882776502709e+01            2.924637110645e+01            1.232208670920e+00            -2.550934683393e+01           
280       1.361836073015e+01            -1.899871269765e+00           -1.336029306612e+01           -1.831067263089e+00           
290       2.692128140969e+01            2.433959769526e+01            8.989768465884e+00            -7.177982982854e+00           
