@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time      Magnitude                     Efield_X                      Efield_Y                     Efield_Z
@type xy
10        3.166447069093e+01            -2.565773145047e+01           7.010139649559e+00            -1.718072940960e+01           
20        1.941528862472e+01            8.757205928569e+00            -1.639106308820e+01           5.621194494461e+00            
30        3.802561542336e+01            1.417053207295e+00            -3.074342055562e+01           2.233341624277e+01            
40        3.395291249342e+01            4.538349852295e+00            -2.294264289307e+01           2.461379256606e+01            
50        1.437479474819e+01            1.209954547617e+00            4.753136022973e+00            -1.351215867256e+01           
60        5.770225666247e+01            -1.765288539934e+01           -3.177963797303e+01           -4.481049733402e+01           
70        3.631288341678e+01            2.392178463021e+01            -2.308053311635e+01           1.461720606723e+01            
80        6.929029780451e+01            3.954451214731e+01            -5.624566572162e+01           8.590809996736e+00            
90        7.045397583528e+01            4.326892770770e+00            -6.247979386361e+01           3.226942932110e+01            
100       4.555639087638e+01            -2.435036350212e+01           -3.455861778840e+01           -1.697487801287e+01           
110       8.896713616065e+01            4.738310790117e+01            -7.451719920194e+01           1.082494458889e+01            
120       2.867157740935e+01            -4.910982183972e+00           -2.594861021426e+01           1.116294016277e+01            
130       8.581118366263e+01            6.070528176250e+01            -5.857262588733e+01           1.573770962943e+01            
140       2.894362095571e+01            2.334540728615e+01            3.418894024226e+00            -1.676413780433e+01           
150       5.152899214008e+01            4.028041869293e+01            -2.588171061153e+01           -1.904893584207e+01           
160       3.990350258424e+01            1.834600516624e+01            -3.269315458445e+01           -1.367008618289e+01           
170       5.871121526411e+01            3.996484585513e+01            -1.944339804772e+00           4.296553777492e+01            
180       3.763392512766e+01            -3.658809260845e+01           1.241045600075e-01            8.809562863579e+00            
190       3.059706314798e+01            2.620949595955e+01            -1.464597225542e+01           -5.893902910734e+00           
200       5.593287364562e+01            -2.812578145573e+00           -6.665275932770e+00           -5.546304945792e+01           
210       1.472322659181e+01            5.991930407679e+00            -6.681091950768e+00           -1.167189708696e+01           
220       4.210216767227e+01            2.036155970998e+01            -3.102344796867e+01           -1.988831528854e+01           
230       5.487174257459e+01            2.059628631398e+01            -3.774090021974e+01           -3.409289623732e+01           
240       1.402101925330e+01            1.370236999214e+00            1.332123409322e+01            4.154052683946e+00            
250       3.440494902917e+01            -6.037779881309e+00           -3.271564703929e+01           -8.771098597394e+00           
260       5.010867675221e+01            1.303617833254e+00            -4.963602825930e+01           6.741273250988e+00            
270       3.825020521683e+01            2.653731818981e+01            5.945953560691e+00            2.689785453668e+01            
280       4.820270705589e+01            7.948145336761e+00            -4.747017139198e+01           -2.628836479901e+00           
290       4.744603830349e+01            4.328306083786e+01            -1.819455953632e+01           -6.830900268804e+00           
300       3.883298868547e+01            2.950766051466e+01            -1.929226787174e+01           -1.628211846052e+01           
310       7.051189354407e+01            1.604153534290e+00            -7.046191432591e+01           -2.114817282179e+00           
320       4.130427988953e+01            -9.315072090158e+00           -4.022430985388e+01           -1.130427320373e+00           
330       5.805781663175e+01            1.240989735281e+01            -4.177706709748e+01           3.835858684142e+01            
340       1.816995574514e+01            1.776172179573e+01            -1.234637650487e+00           -3.625493139367e+00           
350       4.412411668088e+01            2.369611046310e+01            -3.384126378035e+01           -1.549841564606e+01           
360       8.553125991121e+01            6.515014403663e+01            2.097885718556e+01            5.129271590775e+01            
370       2.804349375413e+01            9.513656090759e+00            -2.167332969503e+01           -1.503976960113e+01           
380       5.512495567176e+01            3.987185675028e+01            -3.002030540863e+01           2.340463715315e+01            
390       1.998499948159e+01            1.863745699730e+00            -1.783355849035e+01           -8.825579177445e+00           
400       3.219740477501e+01            -1.072419897129e+01           -2.622582696814e+01           1.529282284300e+01            
410       2.099940016292e+01            1.543323683567e+01            5.634559550558e+00            1.307829295618e+01            
420       4.781611625230e+01            8.911181293405e+00            -4.026128310152e+01           -2.420745555461e+01           
430       3.214514325946e+01            3.054571998648e+01            -9.272269178167e+00           -3.780773725849e+00           
440       2.787332518018e+01            2.458413305212e+01            -1.187111809288e+01           -5.623096469094e+00           
450       3.534628935939e+01            1.787090110042e+01            2.534567416594e+01            1.695841579899e+01            
460       3.695648674868e+01            1.295969860210e+01            -2.188942734501e+01           2.680822812973e+01            
470       3.046246816590e+01            3.137162774547e+00            1.105043855020e+01            2.821361345756e+01            
480       3.710744913209e+01            3.412432820601e+01            2.021915305961e+00            -1.443623441466e+01           
490       3.112073305607e+01            1.488469555787e+01            -1.989008730381e+01           -1.874380674100e+01           
500       6.611742935754e+01            1.849376288872e+01            -4.607382571641e+01           4.366575068540e+01            
510       5.927550739198e+01            -6.881123853763e-01           -5.916394656823e+01           3.569272249943e+00            
520       3.080689504251e+01            7.564017291540e+00            -1.853605528317e+01           2.341506094617e+01            
530       3.928242924830e+01            7.001821113505e+00            -3.464313662851e+01           -1.714458612158e+01           
540       4.527936559654e+01            2.412994223813e+01            -3.484914544453e+01           1.592180574545e+01            
550       5.093573567910e+01            -1.966352959137e+01           -4.690373932977e+01           2.798930164406e+00            
560       4.034241449931e+01            -6.462999254222e+00           -3.344700175882e+01           2.161106479606e+01            
570       5.084276997348e+01            2.716543770631e+01            -3.033095499821e+01           3.044765051195e+01            
580       4.550331342802e+01            1.074835046840e+01            -3.688148094800e+01           2.438812945307e+01            
590       8.552280562076e+01            6.068534053356e+01            1.187574553059e+01            5.907966142139e+01            
600       1.693361824332e+01            -1.083447175314e+01           4.363884635946e+00            1.226043064191e+01            
610       3.653384643262e+01            2.764127021348e+01            1.680795910337e+01            -1.697570696398e+01           
620       4.252298406726e+01            3.037854981834e+01            -2.975278295641e+01           -3.461087517206e-01           
630       6.769786214590e+01            -2.587211736780e+01           -4.725906889894e+01           4.099041947623e+01            
640       2.548277555579e+01            1.294767101068e+01            -2.176542659383e+01           -2.827697051465e+00           
650       4.240407241512e+01            1.734660380136e+01            -3.477601055227e+01           -1.696554697067e+01           
660       7.544338114107e+01            -6.420437643651e+00           -6.740089915167e+01           -3.328063298687e+01           
670       3.892128466361e+01            1.460850845412e+01            -3.589407619066e+01           -3.615684586732e+00           
680       3.311771567558e+01            2.061910472866e+01            -2.545631436639e+01           4.859184153432e+00            
690       2.318655209374e+01            4.687005491278e+00            -4.609676835591e+00           2.223508617010e+01            
700       2.967618332436e+01            2.317390633578e+01            -1.112800252268e+01           1.482610811025e+01            
710       1.961203637417e+01            -9.893601318813e+00           -1.678417729622e+01           2.244998034567e+00            
720       6.047260578531e+01            4.376698725900e+01            3.379146285195e+01            2.448517745619e+01            
730       3.361192846104e+01            3.133094404152e+01            8.552465943107e+00            -8.659619312043e+00           
740       3.176721396316e+01            7.413432605315e+00            -2.167632832713e+01           2.200758256243e+01            
750       4.556259616271e+01            2.783394896809e+01            -3.546585851462e+01           6.587437570727e+00            
760       2.338649347711e+01            1.544810787574e+01            -1.476015233888e+01           -9.509045333143e+00           
770       1.477204184127e+01            1.321723044106e+01            -2.922433771302e+00           5.914171157525e+00            
780       3.612806035066e+01            9.287700388511e+00            2.765962144936e+01            2.130541498006e+01            
790       1.716124348855e+01            7.453232080372e+00            7.848693103942e+00            1.331749323970e+01            
800       9.626424060522e+01            2.760805784800e+01            -8.537407088629e+01           3.486928707994e+01            
810       8.182566359164e+01            8.108775904090e+01            -9.866108780331e+00           4.782724482103e+00            
820       5.969387380892e+01            2.890043966281e+01            -5.187220436182e+01           6.115355448183e+00            
830       1.212915571149e+02            2.610100982562e+01            -1.182095149901e+02           -7.542524725482e+00           
840       3.947450047383e+01            2.536790894331e+01            -2.549728790499e+01           1.626633618836e+01            
850       4.713114394867e+01            -1.516962919072e+01           -3.890118893714e+01           2.186148621213e+01            
860       3.274799286507e+01            1.995549820666e+01            -1.479921936918e+01           -2.133523456813e+01           
870       6.270099872122e+01            1.629047078081e+01            -5.936703637017e+01           -1.189919303987e+01           
880       7.987688367975e+01            6.309095718424e+01            1.597319394117e+01            -4.631095705428e+01           
890       1.521678215192e+01            1.197432177404e+01            2.056728660333e+00            9.161656200085e+00            
900       1.314130280110e+01            3.154557308437e+00            5.275039265089e+00            1.161535915285e+01            
910       4.954897126374e+01            2.410034310562e+01            -1.988932985206e+01           3.845371989187e+01            
920       6.325465372590e+01            5.525465514663e+01            -2.940418191570e+01           -9.136103572073e+00           
930       6.465859164229e+01            6.283988660001e+01            -3.470237653964e+00           1.482698809225e+01            
940       2.679775389373e+01            2.179872371148e+01            1.301294191282e+01            8.578962703793e+00            
950       2.141673085669e+01            1.055963820305e+01            -1.143447821346e+01           -1.471132589519e+01           
960       5.117453200599e+01            4.752954359266e+01            -1.887412682199e+01           1.882165936711e+00            
970       3.736042563374e+01            3.143373088352e+01            6.160176918890e+00            -1.922951342610e+01           
980       1.135723362497e+01            7.522562835972e+00            -6.210582631140e+00           5.816052559325e+00            
990       7.146929401010e+01            3.187492580816e+01            -6.368158008535e+01           -6.041973920822e+00           
1000      5.510700067528e+01            1.472473827234e+00            -4.256409770253e+01           -3.497014342298e+01           
1010      7.268816073784e+01            6.929043566015e+00            -6.985573564733e+01           -1.886089244657e+01           
1020      2.958712371463e+01            2.243096174504e+01            -1.312459038483e+01           1.414195786048e+01            
1030      7.161423555084e+01            3.499475005578e+01            -1.231384486246e+00           6.246959175720e+01            
1040      3.989563075979e+01            -3.005893994495e+01           -2.622981985822e+01           -3.435597653561e-01           
1050      3.654351207966e+01            9.105852359927e+00            -2.137083669037e+01           2.820991079513e+01            
1060      2.372690293954e+01            -1.725685336536e+01           -6.039340630750e+00           1.512260889444e+01            
1070      3.708113832107e+01            3.288273575691e+01            -1.194783030025e+01           1.228763034290e+01            
1080      5.477112804213e+01            2.788848836056e+01            6.263376901407e+00            4.672128844286e+01            
1090      5.739256602162e+01            3.703397146606e+01            4.057526656941e+01            -1.661443152259e+01           
1100      2.190976434756e+01            5.044059675982e+00            -4.424705935520e+00           2.085706626386e+01            
1110      3.218963465036e+01            1.182938202990e+01            -2.636468618521e+01           1.418244062457e+01            
1120      5.175069254390e+01            4.475256936159e+01            1.094825227578e+00            2.596426528964e+01            
1130      6.181490207166e+01            3.831884866540e+01            -4.669084661299e+01           1.314202410778e+01            
1140      7.105824251602e+01            6.480661723887e+01            -2.136689407996e+01           1.981999063814e+01            
1150      7.286660181438e+01            6.023435062546e+01            2.854288950790e+01            2.943922762650e+01            
1160      6.164860724607e+01            3.705565788953e+01            1.318289745467e+01            -4.747252056142e+01           
1170      5.448541704600e+01            4.261003785970e+01            -2.488768501942e+01           2.310083285612e+01            
1180      4.323095233538e+01            1.329637619771e+01            -4.113282103630e+01           -4.611436091725e-01           
