@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time      Magnitude                     Efield_X                      Efield_Y                     Efield_Z
@type xy
1000      5.674012430804e+01            5.201643442442e+01            -4.676151928039e-01           -2.266083829636e+01           
2000      5.135195710971e+01            4.642855817129e+01            -1.788679703479e+01           1.270728047101e+01            
3000      6.981723852194e+01            6.175375822585e+01            3.255066023946e+01            1.172458011141e+00            
4000      7.057300054373e+01            5.794402621661e+01            2.334376873399e+01            -3.283453506367e+01           
5000      5.555489622871e+01            4.622300617301e+01            -1.736094233123e+01           -2.546326524004e+01           
6000      6.019562881644e+01            6.003452834681e+01            -3.740010158279e+00           -2.319797145964e+00           
7000      5.872288986786e+01            4.444852450311e+01            3.535267539958e+00            -3.821267260150e+01           
8000      6.657008519462e+01            4.124238957690e+01            2.894008897728e+01            -4.350991605132e+01           
9000      3.480305141343e+01            3.299223064829e+01            7.509928902559e+00            8.146537449386e+00            
10000     7.328058479041e+01            6.881267897148e+01            2.423879128347e+01            -6.880430009052e+00           
11000     3.564723744833e+01            3.165162364282e+01            3.650407791085e+00            -1.598670639719e+01           
12000     4.719895654407e+01            4.482644274758e+01            1.402331693549e+01            -4.655975899206e+00           
13000     5.057255960477e+01            4.950541353496e+01            7.594194182332e+00            -7.008996392574e+00           
14000     6.298854039187e+01            6.285639369987e+01            3.594477768051e+00            -1.926063685381e+00           
15000     4.732741801726e+01            4.104299422310e+01            1.037929543311e+01            -2.115720557389e+01           
16000     4.536730505388e+01            3.383376193292e+01            1.192095910288e+01            -2.777336233491e+01           
17000     4.385117868033e+01            3.471357413216e+01            -1.812306633327e+01           -1.973443967548e+01           
18000     6.710330848899e+01            4.783511558820e+01            2.283510543248e+01            -4.114867782469e+01           
19000     5.187637304357e+01            4.090460998414e+01            2.288406301823e+01            -2.223264766010e+01           
20000     4.215055353419e+01            3.761132442494e+01            9.052507904706e-01            -1.900626105384e+01           
21000     7.272144074328e+01            5.959631315342e+01            2.882455473804e+01            -3.009705046099e+01           
22000     4.137328699325e+01            4.092316044581e+01            -6.011332080404e+00           -9.527341558844e-01           
23000     3.704334176351e+01            2.882606452557e+01            -1.297758322828e+01           -1.930931139448e+01           
24000     5.075992034767e+01            4.429378116972e+01            2.093558715300e+01            -1.327899295693e+01           
25000     5.384882105187e+01            3.407474701890e+01            1.692431951047e+01            -3.810740811683e+01           
26000     5.316294001139e+01            4.763117878717e+01            1.796513675953e+01            -1.532393093205e+01           
27000     4.526596641397e+01            4.459004333582e+01            3.956241505381e+00            -6.714454843958e+00           
28000     4.733713509539e+01            4.694371228363e+01            -2.233009203318e+00           5.666207370847e+00            
29000     4.844455775342e+01            3.663510360005e+01            -4.571591462950e+00           -3.136630216704e+01           
30000     4.113045713766e+01            3.847762961690e+01            1.180259492661e+01            -8.478518527210e+00           
31000     5.549247888292e+01            4.208805650618e+01            1.262977604601e+01            -3.388951857331e+01           
32000     4.646420701007e+01            3.819719317520e+01            1.116083268999e+01            -2.398609556133e+01           
33000     7.584947781496e+01            6.322883579226e+01            2.340969845607e+01            -3.474541160144e+01           
34000     2.793182139978e+01            2.501879683065e+01            1.241574595950e+01            3.093608333718e-01            
35000     5.547399436792e+01            4.438097181993e+01            1.195044887882e+01            -3.106252023010e+01           
36000     4.454344339567e+01            3.691105971185e+01            8.420657758016e-01            -2.491952940408e+01           
37000     4.808560176385e+01            4.091203704738e+01            2.455449311182e+01            -5.958790955204e+00           
38000     5.684895732792e+01            5.055776036786e+01            1.791128104141e+01            -1.883886480956e+01           
39000     2.991038975567e+01            2.981915379450e+01            2.321806365646e+00            -2.422757034592e-01           
40000     4.481724963504e+01            4.426473304516e+01            -5.006208913021e+00           4.914991923668e+00            
41000     5.943559981382e+01            5.011794789123e+01            8.816735369262e+00            -3.070907035110e+01           
42000     5.835586334530e+01            5.776004700678e+01            -5.724378419467e+00           6.034504806518e+00            
43000     4.374325451848e+01            4.214395962736e+01            6.553918962673e+00            -9.716230185948e+00           
44000     4.331060646170e+01            3.882013722587e+01            4.965330417701e+00            -1.855130916372e+01           
45000     5.857107792453e+01            5.424564876039e+01            1.867751092788e+01            -1.179539509065e+01           
46000     5.445914604558e+01            4.922755928822e+01            2.306754544614e+01            -3.214707082849e+00           
47000     4.875373829477e+01            4.590435137593e+01            1.623123867686e+01            -2.502881037008e+00           
48000     3.960598186495e+01            3.944791724659e+01            -1.929843883346e+00           -2.961642615022e+00           
49000     5.022381041910e+01            4.278705494395e+01            1.837519473260e+01            1.881625044413e+01            
50000     5.164169979339e+01            3.600586998271e+01            -1.913416201211e+01           -3.169110803417e+01           
51000     5.026037934408e+01            4.130518647816e+01            6.903471881531e+00            -2.779081462994e+01           
52000     4.574681115765e+01            4.367243411739e+01            -1.359499130264e+01           8.157455713272e-01            
53000     4.222735688013e+01            3.790152025633e+01            9.747874155818e+00            -1.586201061602e+01           
54000     5.073983324432e+01            4.259180950833e+01            2.627726798446e+01            -8.365024072891e+00           
55000     3.830187056148e+01            3.604571135829e+01            1.163436507779e+01            -5.690477169762e+00           
56000     8.301212242627e+01            8.170003616592e+01            1.469259913840e+01            4.940554217697e-01            
57000     5.065778038982e+01            3.770771629676e+01            2.526625568604e+01            -2.249344725278e+01           
58000     2.929960351959e+01            2.609963376661e+01            1.144431156761e+01            -6.804676068541e+00           
59000     6.261722551793e+01            5.839772644268e+01            2.019192706561e+01            -1.014438560319e+01           
60000     5.319411685383e+01            4.841698486577e+01            1.787316992257e+01            -1.288252464720e+01           
61000     4.904286682762e+01            4.828125503006e+01            3.318186422579e+00            -7.944358895403e+00           
62000     6.637861943664e+01            6.581768151564e+01            -4.550876332959e+00           -7.310502227762e+00           
63000     3.886710482790e+01            3.371109340613e+01            1.324856140335e+01            -1.409573126191e+01           
64000     5.112778037731e+01            4.747264578567e+01            8.340476044058e+00            -1.705386430629e+01           
65000     5.428877119024e+01            4.756451855917e+01            2.222322659497e+01            -1.382083395782e+01           
66000     3.354170244180e+01            3.046903119496e+01            1.196405630101e+01            -7.317465241530e+00           
67000     5.370778893652e+01            4.882476005975e+01            1.345910015576e+01            -1.787517889576e+01           
68000     4.129087135453e+01            4.042862032638e+01            -6.075147262886e+00           -5.792693799613e+00           
69000     4.127757711518e+01            3.914077870232e+01            7.576294727728e+00            1.069754987250e+01            
70000     5.010087595135e+01            4.844022875777e+01            -4.595599191571e+00           -1.193827780955e+01           
71000     5.727418757222e+01            5.643082209350e+01            9.788169364956e+00            -2.943134264569e-01           
72000     4.028639748450e+01            3.059213514103e+01            2.188780121725e+01            -1.442356570570e+01           
73000     2.562781392961e+01            2.447970219016e+01            6.176446703142e+00            -4.402332746987e+00           
74000     5.469303350948e+01            4.697985495087e+01            2.161713340035e+01            -1.780226633930e+01           
75000     4.154207261523e+01            3.793102038991e+01            1.440814485518e+01            -8.909929920111e+00           
76000     5.745675207638e+01            5.675897813647e+01            7.404346672122e+00            4.987224722181e+00            
77000     2.757750099492e+01            2.176118599634e+01            -1.158596870578e+01           -1.235858706756e+01           
78000     3.250326687199e+01            3.210734028204e+01            3.797723438221e+00            -3.340412257775e+00           
79000     3.482915049127e+01            3.041474550056e+01            1.610004460258e+01            -5.366706986096e+00           
80000     4.349801079994e+01            4.345641593215e+01            1.808184161756e+00            -5.893453321148e-01           
81000     5.700490105405e+01            4.838689553911e+01            1.028835489442e+01            -2.832696308882e+01           
82000     4.858241717772e+01            4.564485249439e+01            1.304342455219e+01            -1.032800927320e+01           
83000     5.544328385610e+01            4.645404561922e+01            2.423363054688e+01            -1.813037564070e+01           
84000     2.301593640827e+01            5.850080223262e+00            -5.428343088770e+00           -2.158802866038e+01           
85000     2.051846383053e+01            2.039530461913e+01            -2.190053391109e+00           -4.925176153825e-01           
86000     4.769868475045e+01            4.585480968263e+01            4.175457877856e+00            -1.245257031307e+01           
87000     5.962682815773e+01            5.940840298352e+01            5.088550075720e+00            -3.270309258192e-01           
88000     5.155550853027e+01            3.401679215122e+01            -1.199279351653e+01           -3.683749740719e+01           
89000     4.070343261489e+01            3.199913647071e+01            2.499180979193e+00            -2.503155580856e+01           
90000     4.058593935626e+01            2.620453330264e+01            -3.070589277786e+01           4.205836009092e+00            
91000     6.595932719318e+01            6.551088672247e+01            3.702854770569e+00            6.726472415849e+00            
92000     4.239901428963e+01            3.218446440226e+01            -1.045813370392e+01           -2.554337689702e+01           
93000     4.107931544539e+01            1.937150966518e+01            5.995378470144e+00            -3.572548401007e+01           
94000     4.284814496871e+01            3.361632241479e+01            -1.111197874028e+01           -2.413359324759e+01           
95000     2.741924985390e+01            2.302106774548e+01            -7.705545606145e+00           -1.274638259745e+01           
96000     4.109880799438e+01            2.743599209830e+01            -2.067055411308e+01           -2.256338956804e+01           
97000     5.525455458813e+01            4.072870496643e+01            1.638338394385e+01            -3.355328784246e+01           
98000     4.568476195698e+01            3.318061262606e+01            -5.795438794746e-01           -3.139758827867e+01           
99000     4.579505343888e+01            2.957684975602e+01            -2.674668647319e+01           -2.251691898739e+01           
100000    7.547014212827e+01            7.390395404126e+01            4.992728986097e+00            -1.445754430045e+01           
