@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time      Magnitude                     Efield_X                      Efield_Y                     Efield_Z
@type xy
10        7.374490917674e+01            -1.185877734186e+01           -6.671578734272e+01           2.909784783594e+01            
20        2.657601045742e+01            2.118741105118e+01            1.565332048463e+01            -3.514470456126e+00           
30        7.700388022895e+01            6.298181915888e+00            -3.262137670895e+01           6.946780733896e+01            
40        3.215710765405e+01            -2.747192323224e+01           -1.371666738491e+01           9.551232509357e+00            
50        4.425365347726e+01            -8.484585754929e+00           -3.993970109282e+01           -1.706510847515e+01           
60        2.432272153833e+01            6.718941301165e+00            -2.022889413568e+01           -1.171505240579e+01           
70        1.533829843883e+01            3.931308843637e+00            -5.625520912402e+00           -1.371720540922e+01           
80        9.151197968831e+01            -2.990571075686e+00           -8.592284179794e+01           -3.134906965895e+01           
90        4.184214693014e+01            -1.658855431057e+00           -4.125649572916e+01           6.776062169976e+00            
100       6.878596337471e+01            -2.482847686965e+00           -6.863113894010e+01           3.887286011397e+00            
110       1.297081908884e+01            1.059423258011e+01            6.779713386212e+00            3.168575433030e+00            
120       2.400949923742e+01            5.485194200199e+00            -1.319189702454e+00           2.333727569248e+01            
130       7.071900927852e+01            4.628098787363e+01            -5.276395277879e+01           8.672584501401e+00            
140       2.049883886879e+01            6.511614949182e+00            -1.768834733471e+01           -8.057520356094e+00           
150       4.725287108564e+01            1.755308346579e+01            -2.012947993812e+01           -3.898111240204e+01           
160       5.894265322451e+01            -2.180440906541e+00           -4.988509821835e+01           -3.132026536195e+01           
170       3.940121117531e+01            3.446921962225e+01            1.837555186790e+01            5.164052116728e+00            
180       3.611423355345e+01            2.854373465640e+00            -2.329697332562e+01           2.744706634847e+01            
190       1.278959184558e+01            9.832035644585e+00            8.165689877901e+00            4.756505840239e-01            
200       4.024388545835e+01            1.867963898354e+01            1.826615052804e+01            -3.061027848807e+01           
210       3.294835788808e+01            2.147735199901e+01            -1.435739462711e+01           2.044951975361e+01            
220       2.513499984388e+01            2.347792095518e+01            -7.663427993720e+00           -4.671971335445e+00           
230       2.506907163752e+01            1.840923755569e+01            -1.649955797852e+01           -4.162080236918e+00           
240       8.416281306756e+00            2.598806703957e+00            -7.763624440099e+00           -1.950930624861e+00           
250       9.322790286474e+00            -2.599558523085e+00           8.334682130087e+00            3.269524124555e+00            
260       4.235147848230e+01            1.851987798250e+01            -3.429901142695e+01           -1.656018309936e+01           
270       4.582425630734e+01            1.769776981118e+01            -4.143546869066e+01           8.351846754879e+00            
280       2.418559135964e+01            1.053349426886e+01            1.169639795944e+01            1.836253257799e+01            
290       5.648846699009e+01            5.068331936647e+01            -1.303081400448e+01           -2.126842559446e+01           
300       4.270079551215e+01            3.350064775305e+01            -1.830401610010e+01           1.913184601923e+01            
310       4.372870851908e+01            1.146805166734e+01            -1.376263982307e+01           3.989076941853e+01            
320       4.089185367940e+01            2.527794347085e+01            -3.014436476718e+01           1.115735380835e+01            
330       4.620367791669e+01            -9.618242509447e+00           -4.067769734378e+01           -1.968741229484e+01           
340       4.436000481863e+01            -1.346470043186e+01           -2.632697280435e+01           3.306663534060e+01            
350       4.647169137812e+01            3.162500897415e+01            8.154492007864e+00            3.306026568287e+01            
360       7.648479388293e+01            5.180695343508e+01            -5.603301509658e+01           5.124889293958e+00            
370       3.178186823584e+01            2.831324260530e+01            1.316497100880e+01            5.927139282245e+00            
380       5.221452044667e+01            4.359821160919e+01            2.635358619386e+01            -1.144729595491e+01           
