@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time      Magnitude                     Efield_X                      Efield_Y                     Efield_Z
@type xy
10        5.964823048312e+01            5.312247262206e+01            -5.747891601671e+00           -2.651180952749e+01           
20        5.665351714170e+01            5.415295169509e+01            8.338420970351e+00            -1.440658054347e+01           
30        4.771205382666e+01            4.340699079159e+01            1.186916976665e+01            -1.585547349743e+01           
40        4.050398826830e+01            3.116966545460e+01            1.100920563124e+01            -2.340560643213e+01           
50        4.732654765157e+01            3.750909893413e+01            1.666557587306e+01            -2.356115851536e+01           
60        4.762595416005e+01            4.349703942337e+01            1.319143391199e+01            -1.422058867986e+01           
70        2.429332850107e+01            2.046619143364e+01            1.210817810808e+01            -4.969189145703e+00           
80        4.017656269083e+01            3.022988152275e+01            1.255775360624e+01            -2.329406098421e+01           
90        3.412765937946e+01            3.146898745766e+01            1.298903855839e+00            -1.314202464932e+01           
100       3.442221355365e+01            2.823134268414e+01            -3.020627686713e+00           -1.946165164014e+01           
110       5.325455689386e+01            4.399986780609e+01            1.268894643591e+01            -2.718547592658e+01           
120       5.303770739080e+01            4.806147524467e+01            9.532305902105e+00            -2.030340234460e+01           
130       5.385658845293e+01            4.376622582348e+01            2.341132758118e+00            -3.129806215033e+01           
140       4.756975347284e+01            4.037038068906e+01            2.088500060732e+00            -2.507492723786e+01           
150       4.881079976449e+01            4.250301452638e+01            3.122572524207e+00            -2.379574480134e+01           
160       5.495047023394e+01            4.362227361499e+01            7.840309392822e+00            -3.248354925521e+01           
170       5.950554114809e+01            4.962354565660e+01            -1.615948581679e+00           -3.279941850057e+01           
180       5.461615088179e+01            4.878328334012e+01            9.445850049520e+00            -2.266916673683e+01           
190       6.668665140020e+01            6.003569177761e+01            -9.136645732484e+00           -2.755624960902e+01           
200       5.084018926097e+01            4.526438938744e+01            9.233498960995e+00            -2.122739725945e+01           
210       5.105375911810e+01            4.400425457854e+01            9.387592851861e+00            -2.412436526675e+01           
220       5.778442699039e+01            5.257733626410e+01            -5.738940065647e+00           -2.327505705477e+01           
230       4.911802452976e+01            4.616922664018e+01            7.801831036476e+00            -1.483624877224e+01           
240       4.975112517154e+01            4.729417622510e+01            -5.434578066470e-01           -1.543178552975e+01           
250       5.517684396442e+01            4.719738534133e+01            5.944862447199e+00            -2.795620749136e+01           
260       5.092907294365e+01            4.357011825935e+01            5.401943212410e-01            -2.636519402283e+01           
270       5.941160789627e+01            5.414128264504e+01            1.488529268491e+00            -2.441812742589e+01           
280       5.429012239172e+01            4.829754362616e+01            -1.255096455404e+00           -2.476266144570e+01           
290       3.885274686396e+01            3.522408268088e+01            1.165938275309e+00            -1.635360896267e+01           
300       5.290206407356e+01            5.001353796007e+01            -1.008558176658e+01           -1.398411400085e+01           
310       5.271172541747e+01            4.817409987556e+01            5.040364477074e+00            -2.079367268196e+01           
320       5.279846260012e+01            4.833207364958e+01            -6.143130851122e+00           -2.034576744715e+01           
330       4.397201907024e+01            3.731295209522e+01            9.053695826737e+00            -2.143158087800e+01           
340       4.969749397880e+01            4.550118031987e+01            1.067752468265e+01            -1.689597478464e+01           
350       6.364049581049e+01            5.805874118430e+01            -2.350310596158e-02           -2.606328311444e+01           
360       3.549512264718e+01            3.476598780729e+01            -1.678448136844e+00           -6.957918896715e+00           
370       5.074884521963e+01            4.195234340673e+01            8.719002040832e+00            -2.719237351210e+01           
380       3.945864194294e+01            3.260177108751e+01            7.598315126773e+00            -2.088958001427e+01           
390       4.076820266907e+01            3.249868256575e+01            5.858993255832e+00            -2.390719930032e+01           
400       5.044969153199e+01            4.749265610648e+01            -7.617970193657e+00           -1.521793421440e+01           
410       4.976432022816e+01            4.377140688942e+01            -1.410315045341e+01           -1.901716734900e+01           
420       6.558103589185e+01            6.218799298524e+01            -4.904310056668e+00           -2.023545255198e+01           
430       5.745956130161e+01            5.192129131550e+01            -6.107394186421e-01           -2.460503384405e+01           
440       5.688140597334e+01            5.519311948845e+01            -3.440883079094e+00           -1.331819170435e+01           
450       5.193288373806e+01            4.876886897780e+01            -5.307708447770e-01           -1.784208828267e+01           
460       4.804217599539e+01            4.708297325011e+01            -2.787755335354e+00           -9.136340869909e+00           
470       4.544672031280e+01            4.455695438733e+01            3.028410349680e-02            -8.948814770050e+00           
480       5.262521859649e+01            4.947368343787e+01            3.234167137361e+00            -1.764393500172e+01           
490       4.639290709110e+01            4.218654900189e+01            3.512099133221e+00            -1.898057089112e+01           
500       4.467072202601e+01            4.129507964125e+01            -3.138226621554e+00           -1.674339683038e+01           
510       3.224175418844e+01            2.775979288998e+01            2.324481146071e+00            -1.623334220838e+01           
520       4.598013359561e+01            3.701029728438e+01            4.170489812033e+00            -2.696326380689e+01           
530       4.365284163949e+01            3.739930968184e+01            -2.406148919246e+00           -2.238465246329e+01           
540       3.377485365615e+01            3.149265994905e+01            -4.426370461215e-01           -1.219660531759e+01           
550       4.999890427747e+01            3.771778018017e+01            4.440996905752e+00            -3.251979449059e+01           
560       5.084358879613e+01            4.308354675096e+01            1.179105240758e+01            -2.428681955607e+01           
570       4.288212830283e+01            4.118553806518e+01            -7.458442699186e+00           -9.327379833877e+00           
580       5.070846053560e+01            4.284990247171e+01            4.533866802043e+00            -2.673345993090e+01           
590       5.033808526529e+01            4.112894385377e+01            1.237740237550e+01            -2.625133741516e+01           
600       5.016459169881e+01            3.984518315460e+01            1.540609593032e+01            -2.629638469202e+01           
610       5.389036533973e+01            4.329183178481e+01            3.423476226081e+00            -3.191032102149e+01           
620       4.328148852711e+01            3.732824109381e+01            7.676629065402e-01            -2.189292944369e+01           
630       4.764699783784e+01            4.304299468908e+01            -5.522710583618e+00           -1.967324779909e+01           
640       5.180591102464e+01            4.878066445787e+01            3.856381479722e+00            -1.701256929521e+01           
650       5.345612483027e+01            4.086792799420e+01            1.688044111297e+01            -3.004031376602e+01           
660       5.172818805150e+01            3.834626640799e+01            6.843176745930e+00            -3.403733573127e+01           
670       5.858950345901e+01            4.764003774945e+01            1.470828275042e+01            -3.077049134054e+01           
680       5.520069404437e+01            4.077058296886e+01            2.670507047183e+01            -2.591747284080e+01           
690       5.184717797398e+01            4.295584818839e+01            1.971962730693e+01            -2.130871345619e+01           
700       4.837316180930e+01            4.294775148802e+01            1.099069567706e+01            -1.935608519527e+01           
710       4.377265217137e+01            3.302706240962e+01            -1.048582954054e+01           -2.674519780360e+01           
720       5.608988526098e+01            4.817537835769e+01            2.206513692850e+01            -1.839396316756e+01           
730       5.123577340477e+01            4.822934248494e+01            1.103265305972e+01            -1.331598912283e+01           
740       5.565028021554e+01            5.370545775708e+01            3.914938643532e+00            -1.404815826320e+01           
750       5.572335416494e+01            4.904830903591e+01            -7.151667995987e+00           -2.545995335785e+01           
760       5.960592139213e+01            4.977418435734e+01            1.989114162160e+01            -2.607180318957e+01           
770       5.108635791667e+01            4.342381109315e+01            1.706531902487e+01            -2.080777455462e+01           
780       5.392050430484e+01            4.470136921650e+01            1.007369772463e+01            -2.842057333714e+01           
790       5.700270865770e+01            5.001398790867e+01            5.150281951706e+00            -2.685860017953e+01           
800       5.083455977387e+01            3.834025897333e+01            8.701111352331e-01            -3.336794743273e+01           
810       4.924101481241e+01            4.188162357327e+01            1.364905135992e+01            -2.200705667729e+01           
820       5.209859699391e+01            4.488807536951e+01            1.145924041208e+01            -2.383296682189e+01           
830       4.463080041040e+01            3.762058896298e+01            8.826851523392e+00            -2.233128575643e+01           
840       5.486325918955e+01            5.133747024236e+01            2.426063658742e+00            -1.919780125792e+01           
850       4.343931099826e+01            4.122714580190e+01            8.658154869602e-01            -1.365820458825e+01           
860       5.599913253925e+01            4.935903053048e+01            5.711188127524e+00            -2.582578712085e+01           
870       5.036534917207e+01            4.256659096779e+01            3.072237475992e+00            -2.674537506741e+01           
880       4.978003041830e+01            4.584644937282e+01            5.103792364553e+00            -1.871111466087e+01           
890       5.312470352581e+01            4.837759060049e+01            -5.740077769658e+00           -2.118712721430e+01           
900       6.735271892874e+01            5.526982547670e+01            6.215512362217e+00            -3.798687332415e+01           
910       5.037995949575e+01            4.439230635978e+01            1.257098382670e+00            -2.378829877289e+01           
920       5.764552020732e+01            4.646155392055e+01            7.696685517099e+00            -3.324290960959e+01           
930       4.832468036931e+01            4.616168038087e+01            -5.177792692803e+00           -1.332533151712e+01           
940       5.561102445017e+01            5.449551831462e+01            2.357249822585e+00            -1.082903030251e+01           
950       6.103144027855e+01            6.090807956507e+01            -3.849947751636e+00           4.695194133223e-01            
960       5.386229844308e+01            4.898854799391e+01            4.791034205353e+00            -2.187042181262e+01           
970       5.941310844224e+01            5.761581369939e+01            5.046288938343e+00            -1.359670675116e+01           
980       6.500164457860e+01            6.440822323832e+01            -7.136893322943e+00           5.085207065743e+00            
990       5.957107133620e+01            5.875958405852e+01            -8.410455643086e+00           5.028723226476e+00            
1000      5.046598233998e+01            4.734689740608e+01            -1.202311246727e+01           1.267010047933e+01            
1010      4.714722805685e+01            4.389453660975e+01            -1.714664800133e+01           1.457131283766e+00            
1020      5.625087469076e+01            5.319979283361e+01            -1.807518586907e+01           2.688977823534e+00            
1030      6.313969785523e+01            6.310847824352e+01            -1.773821731125e+00           -8.916139873039e-01           
1040      4.605950802814e+01            4.588044371682e+01            -3.296997738983e+00           2.364946099019e+00            
1050      6.528211276065e+01            6.484855623285e+01            7.066799448313e+00            -2.545456062552e+00           
1060      5.735589136087e+01            5.691707915363e+01            7.075894752005e+00            -2.758403122198e-01           
1070      4.065105335376e+01            3.851686782267e+01            -8.279279767808e+00           1.002060668959e+01            
1080      5.240211584084e+01            5.187043646340e+01            -4.819457014722e+00           5.675596865225e+00            
1090      5.514489072834e+01            5.405677752171e+01            -8.352805218874e+00           -7.003886234387e+00           
1100      4.649053282569e+01            4.611050087204e+01            5.920382561063e+00            -3.747293382744e-01           
1110      4.665901423626e+01            4.562186349867e+01            -9.782678527208e+00           -9.154912566402e-02           
1120      5.180046091403e+01            5.175777007434e+01            1.318649101465e+00            1.637727811671e+00            
1130      4.933394311916e+01            4.771382711712e+01            -1.144618299318e+01           5.119916054820e+00            
1140      4.800770692241e+01            4.703950634343e+01            -7.121358408383e+00           6.427365038102e+00            
1150      4.749145762725e+01            4.539643984130e+01            -1.031401569539e+01           9.392703419748e+00            
1160      5.369963843257e+01            5.272668924246e+01            -6.462027564027e+00           7.860636684124e+00            
1170      4.984474442996e+01            4.893825803641e+01            -2.779330609142e+00           -9.045483348916e+00           
1180      5.468651550668e+01            5.455123377870e+01            -3.780252846238e+00           6.982548983123e-01            
1190      6.108561304120e+01            5.922206373598e+01            -1.106638875181e+01           -1.008634361224e+01           
1200      4.848566323867e+01            4.846818811874e+01            -6.067321583127e-02           1.300230341848e+00            
1210      6.069693904046e+01            6.069690671930e+01            6.256523851683e-02            -3.029851387723e-03           
1220      3.982612252501e+01            3.975257599793e+01            1.343417098826e+00            -2.011956113959e+00           
1230      4.519692875630e+01            4.462986854343e+01            5.049300888319e+00            -5.043982884375e+00           
1240      4.248319902988e+01            4.230150652515e+01            2.244588358165e+00            3.219715611257e+00            
1250      5.198545373539e+01            5.097215801486e+01            1.865574763226e+00            -1.004221779217e+01           
1260      6.071802221143e+01            6.065515086226e+01            -2.507221432627e+00           -1.159627453565e+00           
1270      4.554380113975e+01            4.541417832358e+01            -1.968505287859e+00           -2.813399435423e+00           
1280      5.313341315515e+01            5.238170323525e+01            -7.137697642856e+00           -5.326352602695e+00           
1290      5.911187649506e+01            5.898901730220e+01            -3.074122029270e+00           -2.249345290577e+00           
1300      3.649628178909e+01            3.548184873549e+01            -4.219554920581e+00           -7.430501397122e+00           
1310      3.797618430871e+01            3.612221857913e+01            -1.005148541411e+01           -6.028560403659e+00           
1320      5.708940994428e+01            5.664185008225e+01            2.115490258243e+00            -6.813680944537e+00           
1330      4.023230160238e+01            3.926282682433e+01            -8.613810727593e+00           -1.694339616892e+00           
1340      5.146200215418e+01            5.024797566797e+01            -6.302886352795e+00           -9.151624479371e+00           
1350      4.237312587768e+01            4.109257542074e+01            7.546994905390e+00            -7.065756140306e+00           
1360      4.423337737758e+01            4.149788825441e+01            -5.596738003577e+00           -1.425459464071e+01           
1370      5.847428270352e+01            5.747094069732e+01            -5.724594339302e+00           -9.141210680560e+00           
1380      3.976441837892e+01            3.570448001505e+01            -2.521199128339e+00           -1.732173867787e+01           
1390      4.908172678932e+01            4.691181198111e+01            -7.762595407582e+00           -1.216716539743e+01           
1400      4.983040909181e+01            4.761285782083e+01            -4.985303703526e+00           -1.382867265410e+01           
1410      3.040385301427e+01            2.985037492748e+01            1.219013931434e+00            -5.644767474127e+00           
1420      4.794076075384e+01            4.453378567585e+01            2.168226766345e+00            -1.761695966175e+01           
1430      4.710524758783e+01            4.690104511863e+01            -2.039514420871e+00           -3.877718145801e+00           
1440      4.567308912344e+01            4.471946540243e+01            1.482110850665e+00            -9.165360419828e+00           
1450      5.376071600677e+01            5.257162456581e+01            1.623477375727e+00            -1.112668851376e+01           
1460      5.292837151642e+01            5.250380737481e+01            -4.036432774390e-01           -6.678307767232e+00           
1470      4.541576501477e+01            4.090876380761e+01            -6.755536061924e+00           -1.853179667830e+01           
1480      5.486728844840e+01            5.181861210595e+01            1.472152149661e+00            -1.797452500461e+01           
1490      4.275870071278e+01            3.675154869766e+01            -9.140553081494e+00           -1.985145950134e+01           
1500      4.469155724286e+01            3.681839000920e+01            7.779488711029e+00            -2.410852549031e+01           
1510      3.640793782697e+01            3.278207096495e+01            1.418510411765e+01            -7.046742597282e+00           
1520      4.950311290321e+01            4.680342300097e+01            5.312072607652e+00            -1.522431171223e+01           
1530      4.147761435507e+01            3.776807452580e+01            5.378815531004e+00            -1.627984590482e+01           
1540      6.058029107580e+01            5.776285009892e+01            -1.176235509016e+01           -1.396681130436e+01           
1550      3.175129858185e+01            2.987630052915e+01            -1.018374214919e+01           3.441369518761e+00            
1560      3.686495709243e+01            3.575324823179e+01            -6.209525766085e+00           -6.494004316536e+00           
1570      4.533462849049e+01            4.347116200153e+01            5.927553728504e-01            -1.285049632020e+01           
1580      4.454501664295e+01            4.421246632746e+01            -2.538245172289e+00           4.803502931093e+00            
1590      4.828493328542e+01            4.748649643512e+01            4.826147573756e+00            -7.292169655937e+00           
1600      5.087561512007e+01            4.981022896721e+01            7.327388538463e+00            -7.319745985098e+00           
