@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time      Magnitude                     Efield_X                      Efield_Y                     Efield_Z
@type xy
100       -1.567931146294e+02           -1.167798603699e+02           -8.915949514258e+01           5.474604490823e+01            
200       -1.530987251227e+02           -1.281779916770e+02           -6.363294161385e+01           5.441020883464e+01            
300       -1.278240252138e+02           -1.129272967261e+02           -5.234792026620e+01           2.908783800460e+01            
400       -1.502046504869e+02           -1.295101753609e+02           -7.064883733539e+01           2.823638236474e+01            
500       -1.493862820730e+02           -1.091982605033e+02           -8.974667300213e+01           4.834806986530e+01            
600       -1.710385985774e+02           -1.581319479623e+02           -4.873128041825e+01           4.328685188106e+01            
700       -1.511659830122e+02           -1.339803045261e+02           -3.836068592928e+01           5.855672629314e+01            
800       -1.555296046309e+02           -1.276233746216e+02           -6.203442261664e+01           6.366680907246e+01            
900       -1.332504704786e+02           -9.398159081819e+01           -6.589727113496e+01           6.768085495192e+01            
1000      -1.451413257993e+02           -1.291177507478e+02           -5.422125987333e+01           3.814008225412e+01            
1100      -1.348053609507e+02           -1.224282414293e+02           -5.244355766319e+01           2.082028581023e+01            
1200      -1.236282703641e+02           -1.186230398420e+02           -3.326882699456e+01           -1.028147860344e+01           
1300      -1.395190232222e+02           -1.256564665324e+02           -3.604935289045e+01           4.874889143005e+01            
1400      -1.293356731836e+02           -1.055733386710e+02           -6.268277526806e+01           4.065533426775e+01            
1500      -1.311054011535e+02           -1.190934957447e+02           -2.643444568240e+01           4.802692541065e+01            
1600      -1.274396203895e+02           -1.136063268709e+02           -4.724479501498e+01           3.320223914001e+01            
1700      -1.487233331936e+02           -1.344788679592e+02           -5.973042176603e+01           2.159492126165e+01            
1800      -1.546986322378e+02           -1.364731144010e+02           -6.166087467917e+01           3.879036472792e+01            
1900      -1.625499708802e+02           -1.408171121291e+02           -7.552658068500e+01           2.981223867496e+01            
2000      -1.423651453562e+02           -1.238248501212e+02           -5.465597155860e+01           4.413576642297e+01            
2100      -1.633283266944e+02           -1.228511965615e+02           -8.197461292379e+01           6.974158472681e+01            
2200      -1.261197239516e+02           -1.111232895692e+02           -5.267508083700e+01           2.798455187687e+01            
2300      -1.634329768990e+02           -1.491076896703e+02           -5.421500801275e+01           3.921693161702e+01            
