@    title "Electric Field Projection"
@    xaxis  label "Time (ps)"
@    yaxis  label "Percentage"
#time     Alignment_percentage
@type xy
100       9.256439488520e-01            
200       9.584013591719e-01            
300       9.361463522524e-01            
400       9.429350158480e-01            
500       9.775729970440e-01            
600       9.267928441977e-01            
700       8.544512006917e-01            
800       9.034699679058e-01            
900       9.095970230113e-01            
1000      9.627711732129e-01            
1100      9.960346683643e-01            
1200      9.832697957742e-01            
1300      9.176460692965e-01            
1400      9.610493605035e-01            
1500      9.192151318191e-01            
1600      9.646726417031e-01            
1700      9.933798978193e-01            
1800      9.631312476049e-01            
1900      9.814140414096e-01            
2000      9.772642864536e-01            
2100      9.350554304281e-01            
2200      9.565697969011e-01            
2300      9.710983115304e-01            
2400      9.821694150066e-01            
2500      9.990892894230e-01            
2600      9.538789916869e-01            
2700      9.876255015785e-01            
2800      9.914201077565e-01            
2900      9.558695469535e-01            
3000      9.634770534625e-01            
3100      9.879996559318e-01            
3200      9.881186570215e-01            
3300      9.942279957892e-01            
3400      9.707262835880e-01            
3500      9.059464655997e-01            
3600      9.723870703613e-01            
3700      9.650152441352e-01            
3800      9.666861885402e-01            
3900      9.431672115263e-01            
4000      9.559586096825e-01            
4100      8.925170528159e-01            
4200      9.824166832981e-01            
4300      9.510332280118e-01            
4400      9.860622331396e-01            
4500      9.720990344688e-01            
4600      9.909564212120e-01            
4700      9.851275257563e-01            
4800      9.854815628015e-01            
4900      9.684319520736e-01            
5000      9.808156299721e-01            
5100      9.552808210573e-01            
5200      9.556905181556e-01            
5300      8.816024427455e-01            
5400      9.537311606303e-01            
5500      9.475771537780e-01            
5600      9.586755598519e-01            
5700      8.676393474094e-01            
5800      8.416607261922e-01            
5900      9.700364791716e-01            
6000      9.137329327360e-01            
6100      9.584833001712e-01            
6200      9.396501658149e-01            
6300      9.836910446874e-01            
6400      9.933600234488e-01            
6500      9.498099907797e-01            
6600      9.391040974918e-01            
6700      9.104589455036e-01            
6800      9.367841662842e-01            
6900      9.651657754597e-01            
7000      9.676414404219e-01            
7100      9.532133278292e-01            
7200      9.338543658018e-01            
7300      9.765312363350e-01            
7400      8.882824515986e-01            
7500      9.994410537442e-01            
7600      9.856448073350e-01            
7700      9.509720407730e-01            
7800      8.632605269040e-01            
7900      9.866039602586e-01            
8000      9.686074448061e-01            
8100      9.083848150421e-01            
8200      9.454189832741e-01            
8300      9.674947620981e-01            
8400      8.952768300442e-01            
8500      9.333181969165e-01            
8600      8.726478487870e-01            
8700      9.976780981140e-01            
8800      9.685005607957e-01            
8900      9.749136188466e-01            
9000      9.767975733881e-01            
9100      9.309354117972e-01            
9200      9.823160367043e-01            
9300      9.449080709407e-01            
9400      9.810010543679e-01            
9500      9.972401254375e-01            
9600      9.793735373251e-01            
9700      9.460203642942e-01            
9800      9.877749256803e-01            
9900      9.955952495632e-01            
10000     9.580929917546e-01            
