@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time      Magnitude                     Efield_X                      Efield_Y                     Efield_Z
@type xy
10        1.752807789669e+01            -1.227005384120e+01           -7.787196958848e+00           9.799941684038e+00            
20        1.141277358662e+01            3.843961492706e+00            1.055695751587e+01            -2.006491711962e+00           
30        3.420439194878e+01            -4.377190191923e+00           4.060281669194e+00            -3.367929256051e+01           
40        2.211536582748e+01            -3.059999936601e+00           8.937325280917e+00            1.999625022083e+01            
50        1.690177645437e+01            -2.537031200015e+00           9.112469390392e+00            1.400701330094e+01            
60        2.465296653272e+01            9.109962042442e+00            8.421559149152e+00            2.130386565734e+01            
70        3.033095976119e+01            5.535689526319e+00            2.320954631968e+01            -1.872538974595e+01           
80        2.718759290466e+01            -1.271579109235e+01           -1.337632398672e+01           1.996366252588e+01            
90        9.770521104304e+00            8.862248773756e+00            -4.046224953526e+00           7.427603564857e-01            
100       3.146559542702e+01            2.993543775602e+00            -2.822453132218e+01           1.358301229047e+01            
110       1.814223765086e+01            3.191117232197e+00            1.747773708946e+01            -3.672364908642e+00           
120       1.527873824087e+01            3.123903853207e+00            1.091191625907e+01            -1.022795925412e+01           
130       4.169838388261e+01            -7.661166929059e+00           -3.849720785556e+01           1.407219695115e+01            
140       1.602407104195e+01            -1.345427341524e-01           -1.602251844917e+01           1.779144627197e-01            
150       2.540629573331e+01            -8.933557768227e+00           1.566523561612e+01            1.789613929264e+01            
160       1.059043743540e+01            -3.520523536772e+00           9.854184929673e+00            1.630435056065e+00            
170       3.939375335846e+01            8.065515981581e+00            2.316867321609e+00            3.848957497079e+01            
180       2.610661652507e+01            -9.330769486628e+00           -4.473385844607e+00           2.396833298875e+01            
190       1.168898738124e+01            7.150531816261e-01            5.587886989172e-01            1.165370671229e+01            
200       2.185239036947e+01            -2.216058600915e+00           1.429216925873e+01            1.638139026508e+01            
210       8.630777718003e+00            -7.829274304751e+00           -3.631369416742e+00           7.709758557674e-02            
220       2.971507150868e+01            -1.345227975974e+01           2.286859824937e+01            1.338091395012e+01            
230       2.047725958580e+01            6.944704495721e+00            1.706748438490e+01            8.932536951081e+00            
240       3.486077999937e+01            -2.779300443659e+01           1.876078358917e+01            9.531835377963e+00            
250       1.627064391183e+01            5.057535441938e+00            5.515194478762e+00            1.444776170971e+01            
260       3.891554139528e+01            5.744557864101e+00            2.290856122620e+01            3.092922953420e+01            
270       3.193197837337e+01            -1.342563127898e+01           -7.424965197901e+00           2.800488456338e+01            
280       1.688018989576e+01            1.485998023709e+01            -1.115026755856e+00           -7.929597316640e+00           
290       1.640522305708e+01            2.858384674385e+00            5.947296780547e+00            1.501967514995e+01            
300       6.127338528562e+00            3.051595582520e+00            -5.301567861282e+00           -3.541469420641e-01           
310       3.854065558025e+01            -2.887783100704e+01           1.557480212308e+01            2.022074547862e+01            
320       5.006873756775e+01            -5.371801364590e+00           -7.542986267776e-01           4.977402199249e+01            
330       8.769679660388e+00            6.279557561075e+00            -4.354958120856e+00           -4.302182928301e+00           
340       1.937814625700e+01            8.017172231246e+00            1.706682637983e+01            4.467766678426e+00            
350       1.153258650133e+01            -1.954014410818e+00           -1.132679001897e+01           9.413856590956e-01            
360       2.489458535095e+01            2.570721537616e-01            -1.991718680549e+01           1.493251363499e+01            
