@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time      Magnitude                     Efield_X                      Efield_Y                     Efield_Z
@type xy
10        5.284304855742e+01            -5.170080943979e+00           -3.773310015073e+00           5.245398150193e+01            
20        5.237924776461e+01            -2.792948389735e+00           -3.847638679726e+00           5.216302054395e+01            
30        5.276822972889e+01            -2.970817262917e+00           -1.510810396187e+00           5.266286894443e+01            
40        5.184063825888e+01            -4.406459683364e+00           -1.872512043723e+00           5.161907192883e+01            
50        5.105407660394e+01            -2.358775813713e+00           -4.781197601711e+00           5.077494523911e+01            
60        5.310048125088e+01            -2.017413950831e+00           -2.725521560671e+00           5.299210018718e+01            
70        5.249248951282e+01            -6.343789094118e+00           -3.488590159205e+00           5.199084086533e+01            
80        5.412148541240e+01            -4.168318571130e+00           -4.208975972918e+00           5.379632724261e+01            
90        5.038287655830e+01            -2.890135438896e+00           -3.292824548119e+00           5.019201803005e+01            
100       5.289479217812e+01            -2.554628002218e-01           -4.994125569263e+00           5.265788153849e+01            
110       5.193761954835e+01            -4.129008988799e+00           -5.137978445352e+00           5.151765509624e+01            
120       5.195926828409e+01            -4.867997385188e+00           -1.015167171814e+00           5.172076563325e+01            
130       5.395684745816e+01            -4.404988035994e+00           -3.708844205214e+00           5.364869003701e+01            
140       5.117592372655e+01            -3.133427485607e+00           -2.738644429539e+00           5.100643712461e+01            
150       5.254629875442e+01            -1.837898322310e+00           -2.712769362220e+00           5.244403231001e+01            
160       5.296567529395e+01            -3.332053402027e+00           -4.326320391564e+00           5.268342368658e+01            
170       5.329341141163e+01            -2.649700633528e+00           -5.587765443554e+00           5.293338893166e+01            
180       5.312459742119e+01            -1.181082216072e+00           -4.717953954297e+00           5.290150098483e+01            
190       5.175652842058e+01            -3.675604163872e+00           -1.841552333397e+00           5.159299228756e+01            
200       5.231706631606e+01            -1.104999435056e+00           -4.635845053051e+00           5.209955225154e+01            
210       5.512378494775e+01            -4.159609200267e+00           -5.692891380918e+00           5.467101888562e+01            
220       5.278840809632e+01            -3.934873291374e+00           -4.044883285913e+00           5.248591926153e+01            
230       5.095877755946e+01            -4.868332702473e+00           -5.876423646848e+00           5.038416410119e+01            
240       5.162785213885e+01            -5.542362157630e+00           -6.439912279587e+00           5.092391253641e+01            
250       5.275667072232e+01            -4.395108806423e+00           -5.696473715514e+00           5.226374949706e+01            
260       5.098725869590e+01            -3.562933287608e+00           -4.466112081469e+00           5.066616127739e+01            
270       5.040937133789e+01            -3.655820918043e+00           -4.154970685224e+00           5.010464959165e+01            
280       5.328806193791e+01            -4.485359925529e+00           -2.113144848780e+00           5.305689126103e+01            
