@    title "Electric Field"
@    xaxis  label "Time (ps)"
@    yaxis  label "MV/cm"
#time  Magnitude   Efield_X   Efield_Y   Efield_Z
@type xy
10        1.247293338141e+02            -3.290771732889e+01           1.516994587949e+01            -1.193497448507e+02           
20        1.420617642330e+02            4.457343683055e-02            -1.764399868877e+01           -1.409618110712e+02           
30        1.285128099282e+02            2.367969228463e+00            -5.325423321903e+00           -1.283805861640e+02           
40        1.475627183186e+02            2.470793728547e+01            8.254726145229e-01            -1.454771193956e+02           
50        1.315675575253e+02            -2.353095242690e+01           5.969544371243e+00            -1.293084723097e+02           
60        1.205480481048e+02            -1.726226627317e+00           -2.519214189131e+01           -1.178736952438e+02           
70        1.474925706834e+02            -8.771972580909e+00           -3.498929965190e+00           -1.471899058800e+02           
80        1.616353462856e+02            4.709099614073e+01            -2.119087118232e+01           -1.531645201405e+02           
90        1.448617167760e+02            3.119227159859e-01            -1.487883166295e+01           -1.440952464860e+02           
100       1.480952238275e+02            3.652956744538e+01            -1.279774848833e+01           -1.429475556153e+02           
110       1.397579684236e+02            -1.203377327769e+00           -3.719978470875e+01           -1.347108668168e+02           
120       1.386005785288e+02            2.563704946933e+01            4.969541906266e+00            -1.361182049407e+02           
130       1.278001361437e+02            1.344657184085e+01            2.718946486272e+00            -1.270616851536e+02           
140       1.417925415863e+02            2.702407513834e+01            2.619482727151e+01            -1.367064564556e+02           
150       1.254222625989e+02            -3.537353281458e+01           5.886679094742e+00            -1.201865389338e+02           
160       1.524317865636e+02            -7.512452506916e+00           -2.345359025688e+01           -1.504291917029e+02           
170       1.402839959659e+02            -1.536517033108e+01           -2.724827613572e+01           -1.367517550618e+02           
180       1.245012391847e+02            -1.309934360894e+01           7.197651250949e+00            -1.236008073275e+02           
190       1.420456152173e+02            -1.031631760311e+00           -8.666160243132e+00           -1.417772555984e+02           
200       1.290410621784e+02            2.046351740529e+01            -6.338863897908e+00           -1.272503791272e+02           
210       1.539252282372e+02            -2.281560919803e+01           3.047219507757e+00            -1.521944096150e+02           
220       1.366400098765e+02            -5.127622376380e+00           3.406280690090e+00            -1.365012712017e+02           
230       1.548185650354e+02            -3.490555114098e+01           -1.330818341079e+01           -1.502440775321e+02           
240       1.248152269817e+02            -1.817247715970e+01           -3.514707767937e+01           -1.183777212611e+02           
250       1.451707024702e+02            3.055558233091e+01            1.723078875939e+00            -1.419081401587e+02           
260       1.325524673578e+02            8.757409555565e+00            8.400054741936e+00            -1.319958463773e+02           
270       1.438259576558e+02            -4.632753026538e+01           2.808093144775e+01            -1.332333566497e+02           
280       1.441932217419e+02            9.807068203287e+00            -1.240111590588e+01           -1.433238254229e+02           
290       1.486502044856e+02            4.976174079634e+00            1.787773535601e+01            -1.474873132296e+02           
300       1.477267750477e+02            -2.117865764573e+01           3.194263599746e+00            -1.461658688148e+02           
310       1.459029612935e+02            -3.443326710390e+01           5.071302211915e+00            -1.416908822919e+02           
320       1.324911110595e+02            3.539868760389e-02            -8.824309551778e+00           -1.321969168235e+02           
330       1.333648986705e+02            -4.892818116705e+00           2.746856834284e+01            -1.304137043468e+02           
340       1.487637408527e+02            4.012131561494e+00            1.868260661742e+01            -1.475313987014e+02           
350       1.462341334921e+02            1.205485223830e+01            1.017744566759e+01            -1.453806105896e+02           
360       1.329968763627e+02            -1.516986199250e+01           -4.428472550885e+00           -1.320546592901e+02           
370       1.496691567719e+02            1.912389867423e+01            -3.242735302022e+00           -1.484069326416e+02           
380       1.395499744769e+02            -2.453073824295e+01           4.324531987936e+00            -1.373089096921e+02           
390       1.424453939884e+02            1.239363667839e+01            1.508888898838e+01            -1.411007210027e+02           
400       1.144486042360e+02            5.678346685071e+00            -6.271183021931e-01           -1.143059320995e+02           
410       1.217186341317e+02            3.380811889932e+01            -1.191920890894e+00           -1.169231213917e+02           
420       1.600490334327e+02            -2.195634554123e+01           3.129808585749e+00            -1.585049409055e+02           
430       1.349179935091e+02            2.001281889811e+01            -3.477472953072e+00           -1.333801305823e+02           
440       1.426286373004e+02            1.907709124262e+01            3.066970584527e+01            -1.379795706301e+02           
450       1.520645565077e+02            2.934648481562e-01            2.733492566549e+01            -1.495872489992e+02           
460       1.803392220313e+02            1.994113040104e+01            -4.213582767180e+00           -1.791837940257e+02           
470       1.265771034103e+02            6.165626708551e+00            -8.230199531950e-01           -1.264241701305e+02           
480       1.275283431724e+02            3.267478848636e+01            1.679630673330e+01            -1.221217449507e+02           
490       1.387786682323e+02            4.497659198696e+00            2.749319110690e+01            -1.359537210260e+02           
500       1.446924140939e+02            -2.423854103105e+01           1.719966875639e+01            -1.416070592156e+02           
510       1.383882889590e+02            1.770638397838e+00            1.680455205275e+01            -1.373527953519e+02           
